Country,PopnF1960,PopnF1961,PopnF1962,PopnF1963,PopnF1964,PopnF1965,PopnF1966,PopnF1967,PopnF1968,PopnF1969,PopnF1970,PopnF1971,PopnF1972,PopnF1973,PopnF1974,PopnF1975,PopnF1976,PopnF1977,PopnF1978,PopnF1979,PopnF1980,PopnF1981,PopnF1982,PopnF1983,PopnF1984,PopnF1985,PopnF1986,PopnF1987,PopnF1988,PopnF1989,PopnF1990,PopnF1991,PopnF1992,PopnF1993,PopnF1994,PopnF1995,PopnF1996,PopnF1997,PopnF1998,PopnF1999,PopnF2000,PopnF2001,PopnF2002,PopnF2003,PopnF2004,PopnF2005,PopnF2006,PopnF2007,PopnF2008,PopnF2009,PopnF2010,PopnF2011,PopnF2012,PopnF2013,PopnF2014,PopnF2015,PopnM1960,PopnM1961,PopnM1962,PopnM1963,PopnM1964,PopnM1965,PopnM1966,PopnM1967,PopnM1968,PopnM1969,PopnM1970,PopnM1971,PopnM1972,PopnM1973,PopnM1974,PopnM1975,PopnM1976,PopnM1977,PopnM1978,PopnM1979,PopnM1980,PopnM1981,PopnM1982,PopnM1983,PopnM1984,PopnM1985,PopnM1986,PopnM1987,PopnM1988,PopnM1989,PopnM1990,PopnM1991,PopnM1992,PopnM1993,PopnM1994,PopnM1995,PopnM1996,PopnM1997,PopnM1998,PopnM1999,PopnM2000,PopnM2001,PopnM2002,PopnM2003,PopnM2004,PopnM2005,PopnM2006,PopnM2007,PopnM2008,PopnM2009,PopnM2010,PopnM2011,PopnM2012,PopnM2013,PopnM2014,PopnM2015
Latin America & Caribbean (excluding high income),103207262,106168359,109234950,112385162,115588227,118821985,122077193,125359906,128681821,132061560,135512053,139035376,142624594,146272841,149970004,153708163,157483128,161294883,165144423,169034325,172965098,176935426,180939591,184968303,189009808,193054710,197098172,201138771,205174803,209205823,213231024,217246e3,221247587,225237692,229219805,233194931,237165333,241125471,245059292,248945602,252769917,256524683,260215725,263858472,267475661,271083733,274686286,278277832,281854607,285409794,288937559,292436900,295907138,299342742,302737003,306084366,103242807,106200977,109262263,112405206,115599736,118823897,122068469,125338421,128643157,131998357,135414668,138893646,142428496,146011712,149632614,153283180,156958453,160659078,164389105,168155293,171961109,175806445,179684689,183584830,187492376,191395902,195290861,199176568,203050263,206910283,210755354,214580667,218384520,222172613,225953498,229732039,233511644,237286518,241041289,244755079,248413391,252009264,255548100,259042937,262513236,265972890,269424734,272863437,276284737,279681562,283047968,286382539,289684637,292949679,296172303,299348020
Latin America & the Caribbean (IDA & IBRD countries),105354613,108357039,111459007,114640975,117875711,121143537,124436541,127759784,131122388,134539233,138020916,141568426,145176759,148843396,152564247,156335735,160154958,164020660,167932466,171890578,175893513,179940159,184024820,188135747,192258083,196380340,200496260,204605220,208708368,212809429,216910517,221008141,225097916,229179940,233254963,237321949,241382833,245432597,249455020,253428898,257339853,261179896,264955011,268682083,272385829,276084024,279780954,283470525,287147454,290802708,294428876,298024259,301588694,305117736,308606334,312050033,105143029,108139618,111233151,114404189,117625810,120878309,124153568,127455802,130792665,134177229,137618596,141117675,144669302,148269447,151912177,155592943,159307607,163055985,166841861,170671174,174546446,178468308,182429579,186415341,190405953,194386461,198350365,202298373,206231693,210154489,214069611,217973378,221862491,225740755,229613737,233484004,237354832,241220839,245065552,248866839,252609469,256285673,259901403,263472031,267020280,270562363,274102062,277633274,281150238,284643565,288105660,291534465,294929938,298288508,301606351,304879965
Latvia,1183551,1198160,1210392,1222352,1234458,1244424,1250392,1257079,1266492,1274643,1281122,1288550,1297395,1307004,1317569,1327101,1334707,1342132,1349003,1353226,1356045,1359765,1365465,1372709,1380241,1387867,1397311,1409463,1421783,1427607,1425181,1419277,1401736,1376832,1356406,1339101,1325286,1312744,1300645,1290278,1278279,1262486,1248647,1237490,1224952,1212665,1202476,1193585,1181875,1163025,1139208,1118381,1103951,1091288,1080069,1070315,937428,954521,971194,988567,1006165,1021495,1032825,1044141,1057127,1068530,1078042,1087839,1098279,1108815,1119617,1129029,1136282,1142941,1148918,1152727,1155656,1159656,1165615,1173302,1181806,1191006,1202581,1217120,1231651,1239348,1237970,1231304,1212602,1186458,1164336,1145955,1131936,1120107,1109374,1100204,1089271,1074684,1061526,1050465,1038170,1026134,1015881,1006740,995447,978644,958347,941328,930368,921359,913713,907212
Least developed countries: UN classification,120858698,123725285,126691360,129774163,132996949,136372733,139916573,143614504,147415706,151250498,155072035,158859641,162637012,166456385,170393369,174503684,178810126,183300709,187954905,192737776,197627127,202619785,207736261,213006262,218470101,224157873,230074273,236213622,242581795,249182744,256014955,263088562,270392889,277879808,285484736,293162486,300891165,308685948,316584418,324643353,332903479,341380588,350060950,358920921,367924175,377047046,386281348,395644050,405166839,414893908,424857082,435065555,445509765,456179347,467056474,478126344,120214116,123007839,125894544,128896068,132042411,135351161,138839201,142489962,146247336,150034086,153798030,157518544,161221647,164959551,168808291,172825122,177029190,181411266,185966465,190680593,195544885,200566921,205759659,211125714,216667133,222388278,228278183,234343574,240626259,247181644,254042674,261236137,268732867,276441489,284235638,292026868,299773500,307507030,315301348,323267294,331482608,339981896,348733993,357673129,366702336,375757905,384813080,393908681,403130151,412597887,422397765,432557945,443049980,453833493,464843847,476031460
Lebanon,897323,926732,956521,985736,1013159,1038016,1059491,1077996,1095458,1114596,1137190,1164213,1194599,1225618,1253412,1275284,1290184,1299171,1304234,1308362,1313729,1321370,1330699,1340373,1348315,1353286,1354387,1352851,1352089,1356764,1370003,1393936,1427138,1464905,1500490,1529384,1548889,1561352,1573345,1594219,1630234,1685848,1758034,1836685,1907418,1960927,1989875,1999807,2009595,2045720,2125462,2257122,2429912,2618714,2788009,2912214,907604,937873,968755,999246,1028053,1054338,1077149,1096854,1115507,1136013,1160213,1189356,1222144,1254808,1282091,1300409,1308178,1307053,1300641,1294211,1291565,1294383,1301582,1310922,1318914,1323307,1322903,1319331,1316504,1319851,1333016,1358537,1394730,1435957,1474157,1504022,1522085,1531332,1540615,1562442,1605146,1674027,1764808,1864779,1955853,2025938,2067166,2085619,2099794,2136022,2211694,2334576,2494345,2668276,2824087,2938529
Lesotho,454104,462860,472167,481868,491744,501644,511516,521432,531523,541982,552955,564452,576446,588996,602165,615982,630399,645343,660762,676595,692740,709313,726176,742675,757951,771451,782799,792321,801029,810355,821307,834191,848613,864011,879519,894457,908781,922574,935439,946920,956736,964704,971018,976262,981263,986661,992614,999069,1006196,1014131,1022949,1032777,1043577,1055034,1066704,1078247,397308,403393,409743,416474,423729,431607,440220,449540,459346,469326,479285,489072,498835,509037,520319,533108,547576,563493,580397,597621,614663,631381,647868,664143,680297,696405,712302,727923,743551,759581,776227,793709,811747,829448,845599,859367,870420,879121,886193,892711,899489,906785,914470,922516,930779,939183,947731,956587,965998,976282,987637,1000173,1013754,1028027,1042493,1056775
Liberia,552197,565453,579087,593161,607769,622986,638852,655383,672610,690559,709265,728730,748999,770186,792438,815852,839890,864377,890138,918313,949362,984234,1021713,1057503,1085831,1102790,1107633,1102404,1089606,1073005,1056059,1037811,1019291,1008249,1014621,1044767,1103226,1186272,1281807,1372694,1446826,1499246,1534195,1559929,1589030,1630405,1686627,1754034,1827852,1900796,1967646,2027070,2081015,2131452,2181549,2233643,568117,579443,591180,603427,616325,629982,644452,659736,675838,692746,710463,728984,748357,768696,790146,812804,836126,859936,885062,912650,943167,977561,1014612,1050020,1078004,1094652,1099234,1093800,1080820,1064013,1046818,1028249,1009381,998100,1004527,1035154,1094575,1179018,1276278,1369061,1445142,1499524,1536478,1564293,1595613,1639381,1698177,1768303,1844930,1920702,1990344,2052504,2109140,2162240,2215005,2269795
Libya,698417,722100,747328,774314,803330,834569,868077,903796,941677,981629,1023547,1067404,1113115,1160437,1209066,1258755,1309357,1360816,1413089,1466167,1520021,1574480,1629405,1684826,1740817,1797354,1854493,1911975,1969092,2024922,2078815,2130542,2180316,2228498,2275661,2322282,2368416,2414098,2459770,2505968,2553076,2600782,2648916,2698087,2749089,2802164,2858517,2917196,2973735,3022117,3058449,3080437,3090450,3094983,3103220,3121693,736159,761756,788868,817797,848964,882686,919003,957865,999379,1043653,1090717,1140721,1193553,1248664,1305307,1362975,1421016,1479562,1539788,1603373,1671283,1744080,1820673,1898357,1973447,2043281,2106870,2164913,2218539,2269625,2319604,2368668,2416495,2463436,2509827,2555920,2601975,2648062,2693994,2739446,2784188,2827521,2869425,2911079,2954135,2999379,3048632,3100598,3149287,3186563,3207248,3208215,3192953,3171004,3155764,3156745
Lithuania,1497635,1519083,1537557,1553714,1570306,1587083,1604257,1621485,1637888,1651290,1666935,1686457,1703618,1718943,1733691,1747662,1761353,1774803,1787313,1796585,1804269,1814264,1826630,1840933,1855639,1870887,1888061,1906723,1926111,1940871,1947973,1951881,1950929,1943332,1931808,1919055,1906712,1895038,1883750,1872748,1861780,1848395,1835261,1821993,1803426,1776443,1750930,1733250,1718594,1702345,1669068,1633032,1611827,1595699,1582061,1567467,1280915,1304467,1325793,1345236,1364894,1384367,1403793,1422915,1440962,1456031,1472754,1492584,1510004,1525495,1540203,1553990,1567311,1580233,1592201,1601257,1608933,1618683,1630549,1644259,1658566,1673656,1690853,1709644,1728938,1743384,1749865,1752253,1749185,1739281,1725336,1710047,1694901,1680099,1665581,1651490,1637756,1622423,1607806,1593220,1573649,1546085,1518979,1498044,1479637,1460571,1428214,1395083,1375946,1361990,1350306,1337443
Lower middle income,466405644,476820840,487610764,498691014,510184996,521955956,534042222,546440091,559173306,572226743,585622464,599326703,613389094,627861311,642726820,658028861,673756152,689900338,706505337,723619651,741239282,759267297,777780097,796698483,815927566,835384529,855087211,874987203,895013872,915154806,936144486,956241386,976414709,996527191,1016483233,1036395020,1056335065,1076278745,1096116012,1115824334,1135550662,1155250736,1174892266,1194574588,1214302449,1234052065,1253839071,1273699271,1293647814,1313705103,1334002780,1354398740,1374734497,1395210588,1415807399,1436635696,480034366,491024834,502380932,514017645,526082349,538435191,551117665,564121128,577467364,591135062,605144011,619458766,634131842,649210919,664669687,680549563,696837476,713530844,730686499,748370082,766590136,785244442,804423822,824048536,844037924,864318509,884912778,905763488,926764103,947852317,969766651,990693500,1011632014,1032476693,1053173270,1073847129,1094565907,1115299549,1135941531,1156484281,1177085006,1197696930,1218283087,1238930502,1259639600,1280379740,1301166720,1322027733,1342953626,1363930844,1385084039,1406206577,1427203440,1448274214,1469437828,1490833142
Low income,78573160,80281912,82033219,83845823,85746606,87754238,89874364,92098822,94415520,96806244,99256922,101764539,104330795,106951898,109624487,112346274,115122136,117953596,120832280,123747054,126694627,129670642,132691698,135801471,139057804,142503536,146153653,150001309,154039787,158253643,162629438,167173589,171886830,176742542,181705527,186752369,191872022,197076494,202394217,207866288,213523500,219376738,225420747,231650868,238056714,244631678,251373762,258289583,265390691,272692471,280204454,287931295,295865402,303988748,312276217,320708945,76070463,77754177,79476685,81258582,83129702,85110930,87207829,89411446,91710317,94086872,96527237,99028994,101592999,104212424,106879822,109589979,112345889,115149760,117996004,120877664,123794146,126744949,129745230,132829989,136044990,139426078,142980803,146709124,150628569,154757001,159103135,163686078,168495115,173472238,178537391,183635895,188742791,193882528,199110415,204507397,210131872,216006514,222113850,228424215,234890649,241481628,248185507,255021485,262025267,269247232,276721929,284461755,292450613,300659528,309045798,317577343
Low & middle income,1129588539,1144309872,1165481902,1192530579,1219921157,1248164555,1278221387,1308312718,1339280030,1371460716,1404524753,1438293461,1471658858,1505067060,1538263384,1570865892,1603221172,1635332600,1667999694,1701424995,1735338112,1770114941,1806571699,1843580824,1880628469,1918409769,1957297231,1997233277,2037513715,2077629590,2118038069,2156917393,2195044393,2232758912,2270271163,2307673268,2345050528,2382495873,2419658575,2456230994,2492389220,2527881383,2563060495,2598298982,2633650755,2669199253,2704830742,2740524660,2776623518,2813335954,2850486114,2888185252,2926347937,2964988658,3003979948,3043182461,1146708404,1161572197,1183266282,1211153270,1239363016,1268429932,1299444433,1330446681,1362354026,1395545787,1429686547,1464591976,1499089156,1533635097,1567940844,1601589071,1634931203,1667993674,1701595978,1735924909,1770677368,1806237772,1843496758,1881317201,1919220176,1958020314,1998136562,2039478929,2081258178,2122853960,2164721268,2204945074,2244326924,2283217201,2321838531,2360247838,2398518918,2436750454,2474654479,2512040199,2549205216,2585936320,2622528835.8828697,2659252036.8989296,2696034221.99137,2732900001.24397,2769682599.48499,2806380766.9909296,2843388037.2955303,2880973683.1102,2919063197.3622303,2957671768.3578196,2996792671.0772305,3036434369.61008,3076342210.7391596,3116430517.6820297
Luxembourg,158905,160628,162744,164496,166389,168377,169735,170474,171092,172069,172979,174601,176626,178459,180714,182701,183711,184214,184786,185482,186398,187198,187595,187847,188157,188524,189242,190226,191296,192851,195015,197447,199944,202539,205217,208006,210721,213234,215756,218561,221417,223996,226301,229008,232192,235619,239202,242671,246736,250962,255123,260305,266011,271604,277530,283737,155065,156217,158006,159604,161361,163123,164160,164521,164758,165431,166192,167820,169974,171991,174336,176249,177020,177144,177221,177374,177752,178027,177930,177775,177841,178182,179113,180524,182154,184249,186835,189553,192231,194936,197708,200619,203504,206216,208944,211914,214883,217529,219874,222622,225903,229539,233435,237322,241914,246821,251830,258042,264935,271756,278789,285867
"Macao SAR, China",88930,90706,93356,96719,100547,104614,108930,113424,117692,121225,123674,124926,125126,124520,123488,122361,121152,119933,119168,119436,121134,124426,129179,135104,141759,148773,156104,163724,171283,178366,184676,190050,194549,198396,201942,205453,209015,212585,216169,219739,223295,226805,230350,234174,238594,243811,249944,256857,264179,271385,278094,284177,289729,294859,299765,304595,82526,84429,87669,91984,96976,102296,107943,113834,119437,124085,127323,128955,129156,128325,127062,125852,124763,123796,123290,123637,125102,127832,131742,136570,141913,147449,153122,158931,164669,170101,175059,179434,183250,186645,189841,193006,196216,199446,202641,205709,208612,211283,213828,216580,219985,224338,229784,236165,243095,250020,256532,262505,268034,273197,278149,283011
"Macedonia, FYR",735281,744557,754098,764077,774684,786005,798261,811323,824503,836858,847758,856799,864286,871159,878761,888002,899232,911986,925362,938055,949108,958199,965569,971513,976544,981022,985190,988898,991681,992878,992133,989116,984306,979139,975562,974921,977811,983704,991447,999310,1006028,1011261,1015357,1018553,1021312,1023978,1026542,1028859,1030989,1033e3,1034942,1036847,1038716,1040526,1042233,1043803,753383,763096,773007,783368,794459,806429,819536,833621,847898,861282,873040,882726,890668,897837,905634,915007,926322,939082,952325,964663,975086,983246,989421,993975,997525,1000510,1003211,1005470,1006790,1006460,1004094,999342,992727,985785,980603,978623,980492,985641,992795,1000052,1006023,1010324,1013349,1015421,1017132,1018916,1020788,1022568,1024277,1025920,1027501,1029041,1030554,1032017,1033392,1034650
Madagascar,2506568,2570134,2636101,2704494,2775315,2848620,2924412,3002873,3084450,3169715,3259078,3352601,3450169,3551771,3657341,3766736,3880352,3998027,4118414,4239704,4360780,4481104,4601580,4724325,4852294,4987702,5131393,5283062,5442384,5608600,5781196,5960084,6145676,6338496,6539245,6748327,6965953,7191679,7424430,7662733,7905484,8152417,8403709,8659263,8919102,9183333,9451878,9724935,10003276,10287926,10579699,10878868,11185483,11499858,11822277,12152929,2592803,2653487,2716573,2782099,2850086,2920599,2993648,3069397,3148254,3230739,3317223,3407751,3502214,3600620,3702930,3809021,3919290,4033562,4150488,4268254,4385736,4502390,4619113,4738018,4862048,4993411,5132975,5280429,5435373,5596948,5764586,5938183,6118223,6305368,6500509,6704199,6916693,7137560,7365815,7600084,7839327,8083350,8332320,8586012,8844265,9107061,9374251,9646096,9923522,10207780,10499833,10799999,11108237,11424699,11749436,12082461
Malawi,1866760,1907908,1950664,1995136,2041452,2089741,2140107,2192662,2247565,2304992,2365110,2428004,2493790,2562701,2635004,2710896,2791899,2878326,2967867,3057262,3144998,3226070,3302855,3389747,3506359,3664617,3874150,4125255,4387133,4617093,4785826,4880458,4913717,4913279,4919866,4962954,5051834,5177474,5328996,5488379,5642687,5789778,5935211,6082703,6238224,6406093,6587065,6779472,6982357,7194068,7413353,7640024,7874405,8116315,8365620,8622171,1751844,1792124,1833780,1876988,1921972,1968939,2018025,2069351,2123099,2179464,2238629,2300689,2365779,2434160,2506134,2581920,2662940,2749462,2839303,2929377,3018227,3101274,3180716,3269706,3386168,3541018,3742987,3983229,4233809,4455995,4623172,4723741,4769201,4784356,4805746,4859858,4954933,5082947,5234558,5394164,5550543,5702046,5853520,6007773,6169394,6341753,6525318,6718905,6922314,7134988,7356471,7586789,7826031,8073811,8329633,8593061
Malaysia,4010812,4144106,4283720,4427175,4571090,4713015,4852005,4988668,5124032,5259816,5397304,5537098,5678907,5822139,5965853,6109633,6253347,6398081,6546138,6700555,6863613,7035976,7217364,7407898,7607394,7815526,8032617,8258326,8490787,8727505,8966626,9207064,9449007,9693415,9941891,10195405,10454396,10717865,10983649,11248818,11492914,11719435,11936760,12147410,12360489,12570776,12782783,12995340,13208718,13420590,13630707,13845040,14058283,14247069,14465010,14679700,4150163,4285263,4426958,4572072,4716352,4856769,4992111,5123252,5251845,5380531,5511330,5644980,5781173,5919710,6060077,6202149,6346308,6493634,6645561,6803878,6970126,7144117,7326221,7519078,7725975,7948814,8189150,8445174,8711245,8979559,9244471,9502771,9755693,10007347,10264101,10529969,10806485,11090260,11374479,11649761,11927837,12201528,12465217,12722013,12971537,13225348,13480265,13735267,13988701,14240427,14488793,14727930,14963657,15218303,15436987,15651307
Maldives,40939,42219,43553,44939,46374,47859,49394,50977,52598,54244,55909,57594,59310,61063,62864,64727,66649,68642,70751,73033,75529,78249,81176,84288,87547,90921,94397,97960,101573,105190,106248,110996,114781,119040,120780,125889,129417,130387,133786,138198,141205,144306,146989,150708,154924,159602,165731,173820,180387,179451,182981,187986,191971,195943,199915,203976,48936,50108,51356,52617,53803,54864,55751,56511,57303,58347,59794,61721,64062,66654,69258,71707,73933,76003,78046,80252,82753,85585,88685,91970,95317,98630,101886,105099,108259,111363,111752,116004,119219,122960,124220,129111,132583,133613,137214,141802,144795,147694,150011,153292,157076,161398,167269,175180,181613,180549,184019,189014,193029,197057,201085,205187
Mali,2602872,2634837,2667240,2700293,2734264,2769419,2805775,2843507,2883221,2925669,2971370,3020682,3073436,3128968,3186295,3244736,3303806,3363751,3425468,3490254,3558893,3632373,3710088,3789369,3866530,3939268,4006278,4069324,4132924,4203371,4285178,4380292,4487438,4603988,4725807,4850007,4975981,5105158,5239121,5380220,5530225,5689259,5856905,6033708,6220215,6416611,6623566,6840521,7064918,7293280,7523211,7753656,7985589,8221147,8463506,8715004,2660858,2687430,2714129,2741318,2769484,2799066,2830084,2862691,2897613,2935742,2977673,3023850,3074023,3127224,3182056,3237540,3293011,3348794,3406062,3466525,3531232,3601504,3676581,3753008,3826007,3892623,3951112,4003854,4057060,4119355,4196897,4292289,4403703,4527461,4657801,4790636,4925064,5062842,5205701,5356322,5516701,5686835,5866112,6055159,6254642,6464773,6686376,6918705,7158485,7401285,7644075,7885459,8126744,8370950,8622516,8884690
Malta,168551,167887,167269,166691,166125,164911,163042,161108,159148,157209,156287,156254,156071,155892,155739,156838,157592,158165,159762,161296,162853,163856,167161,169263,169042,171817,174534,175600,176931,178548,180179,184962,186734,188458,190081,191267,192385,193705,194842,195908,197128,198618,200153,201532,202913,204167,204789,205317,206432,207773,208608,209346,210831,212705,214625,216802,157999,157363,156631,155859,155125,153889,152158,150442,148752,147091,146363,146446,146379,146308,146257,147384,148182,148805,150420,152046,153792,155126,158737,161261,161551,164635,167587,168885,170394,172174,173991,178883,180884,182850,184716,186152,187520,189086,190445,191670,192959,194410,195816,197050,198355,199667,200519,201407,202947,204704,205900,206922,208624,210669,212739,215072
Mauritania,433100,445381,458132,471351,485037,499190,513809,528895,544454,560495,577025,594049,611568,629584,648093,667096,686589,706580,727092,748160,769804,792073,814961,838377,862193,886336,910788,935645,961095,987391,1014732,1043196,1072790,1103558,1135526,1168717,1203087,1238647,1275523,1313879,1353782,1395339,1438377,1482332,1526453,1570207,1613354,1656063,1698725,1741939,1786139,1831433,1877679,1924771,1972518,2020783,425070,437842,451040,464663,478709,493178,508071,523390,539132,555295,571883,588896,606344,624255,642662,661591,681051,701041,721572,742651,764281,786512,809349,832703,856448,880519,904904,929711,955145,981479,1008933,1037586,1067460,1098643,1131219,1165249,1200692,1237541,1275906,1315927,1357639,1401163,1446295,1492354,1538429,1583880,1628408,1672222,1715827,1759988,1805261,1851788,1899388,1947913,1997107,2046781
Mauritius,330583,341144,350774,359840,368385,376463,384089,391338,398389,405469,412742,420283,427992,435849,443832,451878,459829,467641,473771,481866,489702,496524,502004,505930,510516,514004,517304,520609,523705,527321,530780,536328,543324,549825,557751,562905,569207,577045,583865,591988,598326,603375,607718,612147,615947,619540,622354,625096,627289,628971,630608,631903,634075,635978,637656,639003,328768,339613,349575,359021,367996,376537,384724,392579,400024,406936,413258,418947,424061,428970,434210,440122,446678,453738,459728,468022,476337,483938,490517,495761,501705,506524,511056,515473,519534,523939,527995,533938,541117,547549,555095,559552,564789,571239,576556,583279,588547,592912,596903,601223,605056,608714,611642,614534,616832,618458,619792,620501,621807,622675,623278,623602
Mexico,19156561,19766220,20393697,21038606,21700484,22379425,23072757,23781318,24512714,25277238,26080967,26927017,27809316,28713343,29619134,30511795,31386501,32245690,33090768,33925730,34753944,35574912,36388174,37197622,38008362,38824519,39646223,40473702,41311056,42163170,43032720,43920490,44823094,45733536,46642234,47541129,48432198,49314700,50175126,50996393,51768729,52482626,53147664,53796592,54474600,55213353,56025292,56898769,57811648,58730220,59629425,60502787,61356422,62192738,63017797,63835777,19017553,19627905,20255893,20901274,21563783,22243616,22938202,23648235,24380893,25145889,25948892,26792530,27670809,28570018,29471361,30360604,31233586,32092004,32934845,33762803,34577030,35375829,36159821,36935755,37712848,38498124,39293218,40097365,40912097,41738473,42576684,43426718,44286949,45153561,46021430,46885817,47749512,48611125,49457173,50270177,51039861,51756937,52430633,53091826,53783222,54534553,55357565,56240605,57161173,58085392,58988117,59862484,60714541,61547371,62368036,63181447
"Micronesia, Fed. Sts.",21598,22283,22974,23693,24470,25319,26271,27302,28311,29160,29760,30060,30117,30080,30159,30503,31162,32087,33214,34436,35672,36911,38169,39422,40645,41822,42922,43944,44933,45957,47057,48257,49520,50746,51797,52579,53054,53258,53260,53163,53046,52934,52813,52670,52481,52230,51919,51573,51227,50931,50719,50606,50586,50649,50776,50950,22941,23673,24413,25182,26013,26919,27930,29022,30093,31007,31673,32047,32181,32209,32318,32643,33224,34023,35007,36114,37295,38551,39888,41256,42597,43867,45026,46080,47087,48134,49274,50543,51892,53191,54260,54977,55288,55248,54976,54645,54384,54236,54170,54146,54094,53968,53761,53507,53245,53030,52900,52870,52930,53069,53268,53510
Middle East & North Africa,52092691,53505326,54983390,56499103,58069794,59686734,61347945,63089605,64848413,66647370,68483497,70343969,72231820,74198961,76229467,78350323,80568698,82888587,85338349,87964618,90777564,93778523,96954499,100259460,103622446,107018798,110422201,113830156,117199928,120480268,124645322,127803183,129896781,132829531,135743982,139362696,142333548,145362193,148383605,151382433,154320780,157169995,159957887,162758015,165671810,168767e3,172070014,175556067,179181673,182889214,186577748,190254460,193929649,197609566,201310383,205041934,53420151,54882283,56407573,57968076,59582617,61243571,62949752,64739231,66549873,68407998,70313203,72250062,74222766,76293589,78459030,80753564,83192255,85771808,88494700,91372077,94389812,97537563,100812676,104194418,107648648,111176586,114758046,118380516,121991609,125524515,129964518,133379238,135559401,138702315,141777916,145773925,148790856,151801265,154797187,157842976,160957114,164128438,167365348,170715099,174236851,177963777,181915864,186067128,190350165,194678738,198931370,203104764,207207064,211241579,215225012,219169318
Middle East & North Africa (excluding high income),48330939,49618347,50943617,52309341,53719069,55174801,56681508,58237658,59831287,61445877,63071690,64707379,66363654,68058234,69815317,71655139,73577409,75584769,77703107,79964146,82387074,84977928,87720050,90580160,93511656,96475293,99463127,102467893,105452023,108371539,112172975,114925223,117569709,120140134,122687583,125249048,127842723,130458203,133044128,135587302,138065208,140466454,142814968,145165978,147594691,150154455,152867231,155716357,158674622,161685223,164710072,167739388,170781731,173845415,176946452,180094349,49538673,50860335,52212063,53599545,55030947,56511680,58048197,59638186,61268180,62919201,64580067,66246761,67931216,69658030,71460813,73365306,75376915,77493072,79721115,82067258,84533617,87118023,89812611,92604878,95478123,98414690,101412375,104457105,107504939,110500829,114406371,117246385,119985988,122646936,125264956,127867648,130461346,133041712,135586573,138125206,140662017,143202967,145754965,148324341,150917561,153540749,156196260,158888528,161633743,164438497,167310786,170253973,173262464,176330511,179450022,182612346
Middle East & North Africa (IDA & IBRD countries),48330939,49618347,50943617,52309341,53719069,55174801,56681508,58237658,59831287,61445877,63071690,64707379,66363654,68058234,69815317,71655139,73577409,75584769,77703107,79964146,82387074,84977928,87720050,90580160,93511656,96475293,99463127,102467893,105452023,108371539,111195876,113903617,116501571,119023339,121519897,124028129,126566115,129123339,131674900,134182800,136624501,138988590,141298970,143610840,145999368,148517870,151188274,153993896,156901717,159860221,162831326,165803425,168786634,171789827,174829095,177914079,49538673,50860335,52212063,53599545,55030947,56511680,58048197,59638186,61268180,62919201,64580067,66246761,67931216,69658030,71460813,73365306,75376915,77493072,79721115,82067258,84533617,87118023,89812611,92604878,95478123,98414690,101412375,104457105,107504939,110500829,113405222,116199146,118890535,121501055,124066344,126613901,129149957,131670058,134179233,136681277,139180571,141683047,144195590,146724510,149276258,151856938,154468883,157116493,159809960,162561281,165378430,168262885,171210660,174216593,177272697,180370473
Middle income,1051014465,1064027028,1083447724,1108683772,1134173540,1160409282,1188345964,1216212812,1244863403,1274653343,1305266682,1336527752,1367326871,1398113949,1428637659,1458518357,1488097748,1517377688,1547166069,1577676567,1608642084,1640442875,1673878556,1707777885,1741569167,1775904694,1811141987,1847230314,1883472206,1919374168,1955406809,1989741954,2023155702,2056014504,2088563763,2120919006,2153176581,2185417414,2217262473,2248362978,2278864033,2308502947,2337638044,2366646405,2395592324,2424565843,2453455212,2482233268,2511230975,2540641592,2570281457,2600252008,2630480568,2660997924,2691701752,2722473310,1070638855,1083818952,1103790556,1129895672,1156234325,1183320037,1212237663,1241036319,1270644816,1301460044,1333160459,1365564152,1397497349,1429423886,1461062260,1492000353,1522586602,1552845230,1583601319,1615048619,1646884623,1679494247,1713752973,1748488680,1783176684,1818595775,1855157350,1892771459,1930631331,1968098738,2005619955,2041260846,2075833670,2109746829,2143303013,2176613836,2209778052,2242869891,2275545949,2307534530,2339075031,2369931504,2400416689.8828697,2430829530.8989296,2461145289.99137,2491420105.24397,2521498860.48499,2551361090.9909296,2581364622.2955303,2611728342.1102,2642341471.3622303,2673211962.3578196,2704344025.0772305,2735776827.61008,2767298391.7391596,2798853380.6820297
Moldova,1353787,1385949,1417091,1447259,1475442,1502728,1528621,1553068,1575888,1598430,1620523,1643169,1664830,1686126,1706136,1723379,1738932,1751731,1763967,1776259,1790253,1806e3,1822966,1840570,1858198,1874737,1890167,1905047,1917853,1927614,1934380,1937651,1937926,1934633,1928743,1919738,1915124,1907220,1905627,1901937,1897571,1893093,1888688,1883382,1878512,1873346,1867084,1861329,1856197,1852411,1849497,1847813,1847350,1846991,1846274,1845701,1190213,1219051,1246909,1273741,1298558,1322272,1344379,1364932,1384112,1403570,1423477,1444831,1466170,1487874,1508864,1527621,1545068,1560269,1575033,1589741,1605747,1623e3,1641034,1659430,1677802,1695263,1711833,1727953,1742147,1753386,1761620,1766349,1768074,1766367,1762257,1755361,1752624,1746988,1747105,1745064,1742021,1738369,1734374,1729492,1725433,1721841,1718125,1715581,1713911,1713193,1712548,1712173,1712169,1711575,1710123,1708407
